chart	title	artist	weeks	rank	query_week	lyrics
hot-holiday-songs	A Holly Jolly Christmas	Burl Ives	22	4	12/12/2015	"Have a holly jolly Christmas
It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer

Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh, ho, the mistletoe
Hung where you can see
...

"
hot-holiday-songs	"Mary, Did You Know?"	Pentatonix	7	5	12/12/2015	"Mary, did you know that your baby boy would one day walk on water?
Mary, did you know that your baby boy would save our sons and daughters?
Did you know that your baby boy has come to make you new?
This child that you've delivered, will soon deliver you

Mary, did you know that your baby boy would give sight to a blind man?
Mary, did you know that your baby boy would calm the storm with his hand?
Did you know that your baby boy has walked where angels trod?
When you kiss your little baby you kiss the face of god

...

"
hot-holiday-songs	Jingle Bell Rock	Bobby Helms	22	6	12/12/2015	"Jingle bell, jingle bell, jingle bell rock
Jingle bells swing and jingle bells ring
Snowin' and blowin' up bushels of fun
Now the jingle hop has begun

Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air

What a bright time, it's the right time
To rock the night away
...

"
hot-holiday-songs	Christmas Eve (Sarajevo 12/24)	Trans-Siberian Orchestra	22	7	12/12/2015	
hot-holiday-songs	Rudolph The Red-Nosed Reindeer	Gene Autry	22	8	12/12/2015	"You know Dasher and Dancer
And Prancer and Vixen
Comet and Cupid
And Donner and Blitzen
But do you recall
The most famous reindeer of all

Rudolph the red-nosed reindeer
Had a very shiny nose
And if you ever saw it
You would even say it glows
All of the other reindeer
Used to laugh and call him names
They never let poor Rudolph
Join in any reindeer games
...

"
hot-holiday-songs	Feliz Navidad	Jose Feliciano	22	9	12/12/2015	"Feliz Navidad
Feliz Navidad
Feliz Navidad, prospero año y felicidad

Feliz Navidad
Feliz Navidad
Feliz Navidad, prospero año y felicidad


I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas, from the bottom of My heart

I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas, from the bottom of My heart

...

"
hot-holiday-songs	"Let It Snow, Let It Snow, Let It Snow"	Dean Martin	21	10	12/12/2015	"Oh the weather outside is frightful
But the fire is so delightful,
And snice we've no place to go,
Let it snow!
Let it snow!
Let it snow!

It doesn't show signs of stopping
And I brought some corn for popping,
The lights are turned way down low,
Let it snow!
Let it snow!
...

"
hot-holiday-songs	All I Want For Christmas Is You	Mariah Carey	21	1	12/5/2015	"I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you

I don't want a lot for Christmas
There is just one thing I need
And I don't care about the presents
Underneath the Christmas tree

I don't need to hang my stocking
There upon the fireplace
Santa Claus won't make me happy
With a toy on Christmas day
I just want you for my own
...

"
hot-holiday-songs	Rockin' Around The Christmas Tree	Brenda Lee	21	2	12/5/2015	"Rocking around the Christmas Tree
At the Christmas party hop
Mistletoe hung where you can see
Every couple tries to stop

Rocking around the Christmas Tree
Let the Christmas Spirit ring
Later we'll have some pumpkin pie
And we'll do some caroling
...

"
hot-holiday-songs	The Christmas Song (Merry Christmas To You)	Nat King Cole	21	3	12/5/2015	"Chestnuts roasting on an open fire
Jack Frost nipping at your nose
Yuletide carols being sung by a choir
And folks dressed up like Eskimos

Everybody knows a turkey and some
Mistletoe help to make the season bright
Tiny tots with their eyes all aglow
...

"
hot-holiday-songs	Jingle Bell Rock	Bobby Helms	21	4	12/5/2015	"Jingle bell, jingle bell, jingle bell rock
Jingle bells swing and jingle bells ring
Snowin' and blowin' up bushels of fun
Now the jingle hop has begun

Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air

What a bright time, it's the right time
To rock the night away
...

"
hot-holiday-songs	White Christmas	Bing Crosby	21	5	12/5/2015	"I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten
And children listen
To hear sleigh bells in the snow

I'm dreaming of a white Christmas
...

"
hot-holiday-songs	A Holly Jolly Christmas	Burl Ives	21	6	12/5/2015	"Have a holly jolly Christmas
It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer

Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh, ho, the mistletoe
Hung where you can see
...

"
hot-holiday-songs	"Let It Snow, Let It Snow, Let It Snow"	Dean Martin	20	7	12/5/2015	"Oh the weather outside is frightful
But the fire is so delightful,
And snice we've no place to go,
Let it snow!
Let it snow!
Let it snow!

It doesn't show signs of stopping
And I brought some corn for popping,
The lights are turned way down low,
Let it snow!
Let it snow!
...

"
hot-holiday-songs	Christmas Eve (Sarajevo 12/24)	Trans-Siberian Orchestra	21	8	12/5/2015	
hot-holiday-songs	Feliz Navidad	Jose Feliciano	21	9	12/5/2015	"Feliz Navidad
Feliz Navidad
Feliz Navidad, prospero año y felicidad

Feliz Navidad
Feliz Navidad
Feliz Navidad, prospero año y felicidad


I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas, from the bottom of My heart

I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas, from the bottom of My heart

...

"
hot-holiday-songs	Rudolph The Red-Nosed Reindeer	Gene Autry	21	10	12/5/2015	"You know Dasher and Dancer
And Prancer and Vixen
Comet and Cupid
And Donner and Blitzen
But do you recall
The most famous reindeer of all

Rudolph the red-nosed reindeer
Had a very shiny nose
And if you ever saw it
You would even say it glows
All of the other reindeer
Used to laugh and call him names
They never let poor Rudolph
Join in any reindeer games
...

"
hot-holiday-songs	Last Christmas	Wham!	21	11	12/5/2015	"Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special

Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special

Once bitten and twice shy
I keep my distance, but you still catch my eye
Tell me baby, do you recognize me?

Well, it's been a year, it doesn't surprise me
""Merry Christmas"" I wrapped it up and sent it
With a note saying ""I love you"", I meant it
Now I know what a fool I've been

But if you kissed me now, I know you'd fool me again
...

"
hot-holiday-songs	All I Want For Christmas Is You	Mariah Carey	30	1	12/31/2016	"I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you

I don't want a lot for Christmas
There is just one thing I need
And I don't care about the presents
Underneath the Christmas tree

I don't need to hang my stocking
There upon the fireplace
Santa Claus won't make me happy
With a toy on Christmas day
I just want you for my own
...

"
hot-holiday-songs	Hallelujah	Pentatonix	5	2	12/31/2016	"I've heard there was a secret chord
That David played and it pleased the Lord
But you don't really care for music, do ya?

Well it goes like this: the fourth, the fifth
The minor fall, the major lift
The baffled king composing Hallelujah

Hallelujah, Hallelujah
Hallelujah, Hallelujah

Well, your faith was strong, but you needed proof
You saw her bathing on the roof
Her beauty in the moonlight overthrew ya

She tied you to the kitchen chair
...

"
hot-holiday-songs	Rockin' Around The Christmas Tree	Brenda Lee	30	3	12/31/2016	"Rocking around the Christmas Tree
At the Christmas party hop
Mistletoe hung where you can see
Every couple tries to stop

Rocking around the Christmas Tree
Let the Christmas Spirit ring
Later we'll have some pumpkin pie
And we'll do some caroling
...

"
hot-holiday-songs	Jingle Bell Rock	Bobby Helms	30	4	12/31/2016	"Jingle bell, jingle bell, jingle bell rock
Jingle bells swing and jingle bells ring
Snowin' and blowin' up bushels of fun
Now the jingle hop has begun

Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air

What a bright time, it's the right time
To rock the night away
...

"
hot-holiday-songs	Feliz Navidad	Jose Feliciano	30	5	12/31/2016	"Feliz Navidad
Feliz Navidad
Feliz Navidad, prospero año y felicidad

Feliz Navidad
Feliz Navidad
Feliz Navidad, prospero año y felicidad


I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas, from the bottom of My heart

I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas, from the bottom of My heart

...

"
hot-holiday-songs	"Mary, Did You Know?"	Pentatonix	15	6	12/31/2016	"Mary, did you know that your baby boy would one day walk on water?
Mary, did you know that your baby boy would save our sons and daughters?
Did you know that your baby boy has come to make you new?
This child that you've delivered, will soon deliver you

Mary, did you know that your baby boy would give sight to a blind man?
Mary, did you know that your baby boy would calm the storm with his hand?
Did you know that your baby boy has walked where angels trod?
When you kiss your little baby you kiss the face of god

...

"
hot-holiday-songs	A Holly Jolly Christmas	Burl Ives	30	7	12/31/2016	"Have a holly jolly Christmas
It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer

Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh, ho, the mistletoe
Hung where you can see
...

"
hot-holiday-songs	The Christmas Song (Merry Christmas To You)	Nat King Cole	30	8	12/31/2016	"Chestnuts roasting on an open fire
Jack Frost nipping at your nose
Yuletide carols being sung by a choir
And folks dressed up like Eskimos

Everybody knows a turkey and some
Mistletoe help to make the season bright
Tiny tots with their eyes all aglow
...

"
hot-holiday-songs	It's The Most Wonderful Time Of The Year	Andy Williams	30	9	12/31/2016	"It's the most wonderful time of the year 
With the kids jingle belling
And everyone telling you ""Be of good cheer"" 
It's the most wonderful time of the year 
It's the hap-happiest season of all
With those holiday greetings and gay happy meetings 
When friends come to call 
It's the hap- happiest season of all 

There'll be parties for hosting 
Marshmallows for toasting 
And caroling out in the snow 
...

"
hot-holiday-songs	Last Christmas	Wham!	30	10	12/31/2016	"Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special

Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special

Once bitten and twice shy
I keep my distance, but you still catch my eye
Tell me baby, do you recognize me?

Well, it's been a year, it doesn't surprise me
""Merry Christmas"" I wrapped it up and sent it
With a note saying ""I love you"", I meant it
Now I know what a fool I've been

But if you kissed me now, I know you'd fool me again
...

"
christian-songs	What A Beautiful Name	Hillsong Worship	23	1	3/11/2017	"You were the Word at the beginning
One With God the Lord Most High
Your hidden glory in creation
Now revealed in You our Christ

What a beautiful Name it is
What a beautiful Name it is
The Name of Jesus Christ my King

What a beautiful Name it is
Nothing compares to this
What a beautiful Name it is
The Name of Jesus

You didn't want heaven without us
So Jesus, You brought heaven down
My sin was great, Your love was greater
What could separate us now

What a wonderful Name it is
What a wonderful Name it is
The Name of Jesus Christ my King

...

"
